,Country,Admin1,Facility name,Facility type,Ownership,Lat,Long,LL source
97,Angola,Benguela,Cubal Municipal Hospital,Municipal Hospital,Govt.,-13.0321,14.2531,Other
98,Angola,Benguela,Cuball Centro Materno Infantil,Centro de Saúde,MoH,-13.0333,14.25,Other
99,Angola,Benguela,Cuca Health Post,Posto de Saúde,MoH,-12.4637,13.521,Combination
100,Angola,Benguela,Cui Povoacao Health Post,Posto de Saúde,MoH,,,
101,Angola,Benguela,Culango Health Post,Posto de Saúde,MoH,-12.3,13.85,Other
102,Angola,Benguela,Cutembo Health Post,Posto de Saúde,MoH,-13.8154,13.9702,Other
103,Angola,Benguela,Damba Maria Health Post,Posto de Saúde,MoH,-12.5265,13.4623,Other
104,Angola,Benguela,Dembue Health Post,Posto de Saúde,MoH,-13.0645,14.5911,Other
105,Angola,Benguela,Dombe Grande Communal Hospital,Municipal Hospital,Govt.,-12.9447,13.0978,Other
106,Angola,Benguela,Dumbo Oliveira Health Post,Posto de Saúde,MoH,-12.9358,14.6325,Other
107,Angola,Benguela,Ebanga Health Centre,Centro de Saúde,MoH,-12.73,14.73,Other
108,Angola,Benguela,Egipto Praia Health Post,Posto de Saúde,MoH,-11.9611,13.7664,Other
109,Angola,Benguela,Elongo Health Post,Posto de Saúde,MoH,-12.3437,14.9574,Other
110,Angola,Benguela,Epembe Health Post,Posto de Saúde,MoH,-12.4712,14.141,Combination
111,Angola,Benguela,Equimina Health Centre,Centro de Saúde,MoH,-13.2,12.8,Other
112,Angola,Benguela,Eyendue Health Post,Posto de Saúde,MoH,-13.0311,14.0129,Combination
113,Angola,Benguela,Fasil Health Post,Posto de Saúde,MoH,-12.4622,14.1303,Combination
114,Angola,Benguela,Fonte das Gracas Health Post,Posto de Saúde,MoH,-12.3664,13.5782,Google Earth
115,Angola,Benguela,Fronteira Health Centre,Centro de Saúde,MoH,-12.5947,13.4222,Other
116,Angola,Benguela,Gama Health Post,Posto de Saúde,MoH,-12.5074,13.4975,Other
117,Angola,Benguela,Ganda Municipal Hospital,Municipal Hospital,Govt.,-13.0161,14.6361,Other
118,Angola,Benguela,Gaspar Lopes Health Centre,Centro de Saúde,MoH,,,
119,Angola,Benguela,Gato Health Post,Posto de Saúde,MoH,,,
120,Angola,Benguela,Grata Centro Materno Infantil,Centro Materno Infantil,MoH,-12.5604,13.4392,Combination
121,Angola,Benguela,Hanha do Norte Health Post,Posto de Saúde,MoH,-12.2437,13.7162,Other
122,Angola,Benguela,Hanja Primaria Health Post,Posto de Saúde,MoH,-13.699,13.882,Encarta
123,Angola,Benguela,Hungulo Health Post,Posto de Saúde,MoH,-12.3291,14.888,Other
124,Angola,Benguela,Igreja EvangTlica Sinodal de Angola (IESA) Health Centre,Centro de Saúde,MoH,,,
125,Angola,Benguela,Joaquim Kapango Health Post,Posto de Saúde,MoH,-12.5852,13.4138,Combination
126,Angola,Benguela,Kafindua Health Post,Posto de Saúde,MoH,-12.3497,14.7683,Combination
127,Angola,Benguela,Kalahanga Health Centre,Centro de Saúde,MoH,-13.2219,13.4914,Other
128,Angola,Benguela,Kaliamuma Health Post,Posto de Saúde,MoH,-12.8,14.15,Other
129,Angola,Benguela,Kambondogolo Health Post,Posto de Saúde,MoH,-13.35,14.4,Other
130,Angola,Benguela,Kanbandjo Health Post,Posto de Saúde,MoH,-12.3524,14.7698,Google Earth
131,Angola,Benguela,Kandioguilo Health Post,Posto de Saúde,MoH,,,
132,Angola,Benguela,Kanokela Health Post,Posto de Saúde,MoH,-12.3389,14.7677,Google Earth
133,Angola,Benguela,Kaponte Pequena Health Post,Posto de Saúde,MoH,-12.5736,13.4312,Encarta
134,Angola,Benguela,Kapupa Health Centre,Centro de Saúde,MoH,,,
135,Angola,Benguela,Kassanje CTE Health Post,Posto de Saúde,MoH,-12.6157,13.1863,Other
136,Angola,Benguela,Kateke Health Post,Posto de Saúde,MoH,-12.4671,14.1262,Other
137,Angola,Benguela,Katima Health Post,Posto de Saúde,MoH,-13.0547,14.6015,Other
138,Angola,Benguela,Kayave Health Post,Posto de Saúde,MoH,-12.783,13.949,Encarta
139,Angola,Benguela,Kuyo Health Post,Posto de Saúde,MoH,-12.983,12.983,Encarta
140,Angola,Benguela,Lembi-Lembi Health Post,Posto de Saúde,MoH,,,
141,Angola,Benguela,Lomboloque Health Centre,Centro de Saúde,MoH,,,
142,Angola,Benguela,Lometi Health Post,Posto de Saúde,MoH,-12.376,14.5616,Other
143,Angola,Benguela,Lomia Health Post,Posto de Saúde,MoH,-13.194,14.1086,Other
144,Angola,Benguela,Lomumu Health Post,Posto de Saúde,MoH,-12.8643,14.5571,Other
145,Angola,Benguela,Lossala Health Post,Posto de Saúde,MoH,-12.9722,13.9879,Other
146,Angola,Benguela,Lossinja Health Post,Posto de Saúde,MoH,-12.4776,13.9441,Other
147,Angola,Benguela,Luacho Health Post,Posto de Saúde,MoH,-12.8918,13.0001,Other
148,Angola,Benguela,Lulambo Health Post,Posto de Saúde,MoH,,,
149,Angola,Benguela,Lulandi Health Post,Posto de Saúde,MoH,,,
150,Angola,Benguela,Lumaun Health Post,Posto de Saúde,MoH,-12.7259,14.3863,Other
151,Angola,Benguela,Lumbili Health Post,Posto de Saúde,MoH,-13.581,13.9426,Combination
152,Angola,Benguela,Lumbo Health Centre,Centro de Saúde,MoH,-12.6323,13.4235,Other
153,Angola,Benguela,Luoluo Health Post,Posto de Saúde,MoH,-12.4499,13.6095,Other
154,Angola,Benguela,Luongo Health Post,Posto de Saúde,MoH,-12.459,13.5497,Combination
155,Angola,Benguela,Lussipa Health Post,Posto de Saúde,MoH,-13.0232,14.6359,Combination
156,Angola,Benguela,Macaca Health Post,Posto de Saúde,MoH,-12.6108,13.1968,Other
157,Angola,Benguela,Mahumbulu Health Post,Posto de Saúde,MoH,-13.0284,13.9941,Combination
158,Angola,Benguela,Maka Mombolo Health Centre,Centro de Saúde,MoH,-12.628,13.201,Encarta
159,Angola,Benguela,Malongo Missao Health Post,Posto de Saúde,MoH,-13.4608,14.1087,Other
160,Angola,Benguela,Malowe Health Post,Posto de Saúde,MoH,-13.0801,13.9804,Other
161,Angola,Benguela,Mange Health Post,Posto de Saúde,MoH,-12.3167,14.1167,Other
162,Angola,Benguela,Marco Canavez Health Post,Posto de Saúde,MoH,-13.041,14.2442,Other
163,Angola,Benguela,Massangarala Health Centre,Centro de Saúde,MoH,-12.5845,13.4054,Combination
164,Angola,Benguela,M'Bambi Health Centre,Centro de Saúde,MoH,-13.0236,14.0019,Other
165,Angola,Benguela,Mina Health Post,Posto de Saúde,MoH,-12.6114,13.5203,Other
166,Angola,Benguela,Missao Catolica Health Centre,Centro de Saúde,MoH,-13.0236,14.0082,Combination
167,Angola,Benguela,Missao Dunde Health Post,Posto de Saúde,MoH,-12.8835,14.5847,Other
168,Angola,Benguela,Missao Kapusso Health Post,Posto de Saúde,MoH,-12.6964,14.4752,Other
169,Angola,Benguela,Monte Belo Health Centre,Centro de Saúde,MoH,-12.418,14.3949,Other
170,Angola,Benguela,Muhaningo Health Post,Posto de Saúde,MoH,-12.6123,13.1965,Combination
171,Angola,Benguela,Mulumba Health Centre,Centro de Saúde,MoH,,,
172,Angola,Benguela,Munguavolo Health Post,Posto de Saúde,MoH,,,
173,Angola,Benguela,Navegantes Health Post,Posto de Saúde,MoH,-12.5309,13.4548,Combination
174,Angola,Benguela,Ndende Health Post,Posto de Saúde,MoH,-12.9482,14.4515,Other
175,Angola,Benguela,Ndoloma Health Post,Posto de Saúde,MoH,-12.6284,13.2027,Other
176,Angola,Benguela,Ngoma Health Post,Posto de Saúde,MoH,-13.1208,14.0996,Other
177,Angola,Benguela,Ningui-Ningui Health Post,Posto de Saúde,MoH,-13.3243,13.8267,Other
178,Angola,Benguela,Nossa Senhora da Paz Hospital,Hospital,Govt.,-13.0404,14.2363,Google Earth
179,Angola,Benguela,Nzagi Career and Technical Education Health Post,Posto de Saúde,MoH,-12.3952,13.5557,Google Earth
180,Angola,Benguela,Paroquia Health Post,Posto de Saúde,MoH,,,
181,Angola,Benguela,Passe Health Post,Posto de Saúde,MoH,-12.5667,13.9667,Other
182,Angola,Benguela,Posto Bom Pastor,Posto de Saúde,MoH,-12.3867,13.5917,Combination
183,Angola,Benguela,Praia Bebe Health Centre,Centro de Saúde,MoH,-13.1264,13.7693,Other
184,Angola,Benguela,Pupira Health Post,Posto de Saúde,MoH,-12.9268,13.9484,Other
185,Angola,Benguela,Quisquerof Health Post,Posto de Saúde,MoH,-13.0359,14.2328,Combination
186,Angola,Benguela,Rio Bom Health Post,Posto de Saúde,MoH,-13.0683,14.2709,Other
187,Angola,Benguela,S.S. Luanga Health Centre,Centro de Saúde,MoH,,,
188,Angola,Benguela,Saco Health Post,Posto de Saúde,MoH,-12.8238,12.9732,Other
189,Angola,Benguela,Santa Cruz Health Post,Posto de Saúde,MoH,-12.3979,13.553,Other
190,Angola,Benguela,Santa Maria Health Post,Posto de Saúde,MoH,-13.0239,14.6357,Combination
191,Angola,Benguela,Santo Antonio Health Post,Posto de Saúde,MoH,-12.6083,13.3217,Other
192,Angola,Benguela,Sao Joao Health Centre,Centro de Saúde,MoH,-12.5,13.51,Other
193,Angola,Benguela,Sao Jose Health Post,Posto de Saúde,MoH,-12.6134,13.1858,Combination
194,Angola,Benguela,Sao Martinho de Lima Health Centre,Centro de Saúde,MoH,-12.3657,13.5599,Combination
195,Angola,Benguela,Sao Pedro de Calabria Health Post,Posto de Saúde,MoH,-12.4195,13.7794,Combination
196,Angola,Benguela,Sendje Health Post,Posto de Saúde,MoH,-13.5957,13.8303,Google Earth
197,Angola,Benguela,Sendje Health Post,Posto de Saúde,MoH,-12.6125,13.1859,Other
198,Angola,Benguela,Sibol Health Post,Posto de Saúde,MoH,-12.4474,14.1381,Combination
199,Angola,Benguela,Taka Health Post,Posto de Saúde,MoH,-12.5375,13.4761,Other
200,Angola,Benguela,Tata Health Centre,Centro de Saúde,MoH,-13.0277,14.0089,Other
201,Angola,Benguela,Tchicuma Health Centre,Centro de Saúde,MoH,,,
202,Angola,Benguela,Tchinhungo Health Post,Posto de Saúde,MoH,-13.1758,13.9458,Other
203,Angola,Benguela,Tchitoko Health Post,Posto de Saúde,MoH,-13.7057,13.962,Other
204,Angola,Benguela,Tenda-Moco Health Post,Posto de Saúde,MoH,-12.63,14.5,Other
205,Angola,Benguela,Tola Health Centre,Centro de Saúde,MoH,-12.5464,14.3904,Other
206,Angola,Benguela,Tumbulo Health Post,Posto de Saúde,MoH,-12.8667,14.1333,Other
207,Angola,Benguela,Uchi Health Post,Posto de Saúde,MoH,-12.7225,13.3561,Other
208,Angola,Benguela,Uenge Health Post,Posto de Saúde,MoH,-12.7012,13.1104,Combination
209,Angola,Benguela,Ukende Health Post,Posto de Saúde,MoH,-12.5932,13.4242,Combination
210,Angola,Benguela,Undongo Health Post,Posto de Saúde,MoH,,,
211,Angola,Benguela,Utomba Health Post,Posto de Saúde,MoH,-12.586,13.2657,Combination
212,Angola,Benguela,Vaiva Health Post,Posto de Saúde,MoH,,,
213,Angola,Benguela,Vianja Health Post,Posto de Saúde,MoH,,,
214,Angola,Benguela,Vimala-Passo Health Centre,Centro de Saúde,MoH,-12.8505,13.0643,Other
215,Angola,Benguela,Vimbalambi Health Post,Posto de Saúde,MoH,-12.52,13.5,Other
216,Angola,Benguela,Vinama Health Post,Posto de Saúde,MoH,-13.5775,13.9395,Combination
217,Angola,Benguela,Wiyangombe Health Post,Posto de Saúde,MoH,-13.0368,14.1155,Other
218,Angola,Benguela,Yambala Health Centre,Centro de Saúde,MoH,,,
219,Angola,Bie,Hospital Municipal de Andulo,Municipal Hospital,Govt.,-11.4847,16.6932,Google Earth
220,Angola,Bie,Hospital Municipal de Chinguar,Municipal Hospital,Govt.,-12.5575,16.3379,Google Earth
221,Angola,Bie,Hospital Municipal de Chitembo,Municipal Hospital,Govt.,-13.5082,16.7572,Google Earth
222,Angola,Bie,Hospital Municipal de Kamacupa,Municipal Hospital,Govt.,-12.025,17.4773,Google Earth
223,Angola,Bie,Hospital Municipal de Katabola,Municipal Hospital,Govt.,-12.1415,17.2813,Google Earth
224,Angola,Bie,Hospital Municipal de Kuito,Municipal Hospital,Govt.,-12.3894,16.9201,Google Earth
225,Angola,Bie,Hospital Municipal de Kunhinga,Municipal Hospital,Govt.,-12.2355,16.7821,Google Earth
226,Angola,Bie,Hospital Municipal de Nharea,Municipal Hospital,Govt.,-11.4701,16.9649,Google Earth
227,Angola,Bie,Hospital Provincial de Bie,Provincial Hospital,Govt.,-12.3906,16.9383,Google Earth
228,Angola,Cabinda,Hospital Municipal de Belize,Municipal Hospital,Govt.,-4.6411,12.7613,Google Earth
229,Angola,Cabinda,Hospital Municipal de Bucu-Zau,Municipal Hospital,Govt.,-4.7572,12.5387,Google Earth
230,Angola,Cabinda,Hospital Municipal de Cabinda,Municipal Hospital,Govt.,-5.5601,12.1967,Google Earth
231,Angola,Cabinda,Hospital Municipal de Cacongo,Municipal Hospital,Govt.,-5.2368,12.1456,Google Earth
232,Angola,Cabinda,Hospital Provincial de Cabinda,Provincial Hospital,Govt.,-5.5711,12.1959,Google Earth
233,Angola,Cuanza Norte,Aldeia-Nova Health Post,Posto de Saúde,MoH,-9.2167,14.2455,Other
234,Angola,Cuanza Norte,Aldeia-Nova Health Post,Posto de Saúde,MoH,-8.1782,15.3776,Other
235,Angola,Cuanza Norte,Alto Fina Health Post,Posto de Saúde,MoH,,,
236,Angola,Cuanza Norte,Ambaca Municipal Hospital,Municipal Hospital,Govt.,-8.1833,15.3667,Combination
237,Angola,Cuanza Norte,Banga Health Centre,Centro de Saúde,MoH,-8.7311,15.1703,Other
238,Angola,Cuanza Norte,Bango Health Post,Posto de Saúde,MoH,-8.3068,15.2794,Other
239,Angola,Cuanza Norte,Banza de Banze Health Post,Posto de Saúde,MoH,-9.5699,14.8295,Other
240,Angola,Cuanza Norte,Bengueji Health Post,Posto de Saúde,MoH,-9.0773,15.252,Combination
241,Angola,Cuanza Norte,Bessenguele Health Post,Posto de Saúde,MoH,-8.65,14.98,Other
242,Angola,Cuanza Norte,Bindo Sector Health Post,Posto de Saúde,MoH,-8.15,15.2167,Other
243,Angola,Cuanza Norte,Bolongongo Health Centre,Centro de Saúde,MoH,-8.4657,15.253,Other
244,Angola,Cuanza Norte,Bonzo Health Post,Posto de Saúde,MoH,-8.5654,15.2723,Other
245,Angola,Cuanza Norte,Bungo Health Post,Posto de Saúde,MoH,-9.6902,14.6705,Other
246,Angola,Cuanza Norte,Cabinda Health Post,Posto de Saúde,MoH,-9.15,14.95,Other
247,Angola,Cuanza Norte,Caboco Health Post,Posto de Saúde,MoH,-8.5299,15.0611,Other
248,Angola,Cuanza Norte,Caculo-Cabata Health Post,Posto de Saúde,MoH,-8.307,15.3584,Other
249,Angola,Cuanza Norte,Cafuta Health Post,Posto de Saúde,MoH,-8.9705,14.9598,Other
250,Angola,Cuanza Norte,Camame Health Centre,Centro de Saúde,MoH,-8.9833,14.9833,Other
251,Angola,Cuanza Norte,Camame Health Post,Posto de Saúde,MoH,-8.9867,14.994,Other
252,Angola,Cuanza Norte,Cambambe Municipal Health Centre,Centro de Saúde,MoH,-9.75,14.5,Other
253,Angola,Cuanza Norte,Cambambe Municipal Hospital,Municipal Hospital,Govt.,-9.689,14.424,Other
254,Angola,Cuanza Norte,Cambondo Health Centre,Centro de Saúde,MoH,-9.1667,14.6667,Other
255,Angola,Cuanza Norte,Cana Canjungo Health Post,Posto de Saúde,MoH,-8.166,15.282,Other
256,Angola,Cuanza Norte,Canguenhe Health Post,Posto de Saúde,MoH,-9.5303,14.3156,Other
257,Angola,Cuanza Norte,Canguimbi Health Post,Posto de Saúde,MoH,-8.2359,15.2534,Other
258,Angola,Cuanza Norte,Canhoca Health Post,Posto de Saúde,MoH,-9.1299,14.8529,Other
259,Angola,Cuanza Norte,Canzondo Health Post,Posto de Saúde,MoH,-9.2333,15.05,Other
260,Angola,Cuanza Norte,Cariamba Health Post,Posto de Saúde,MoH,-8.6,15.2,Other
261,Angola,Cuanza Norte,Carianga Health Post,Posto de Saúde,MoH,-9.291,14.9915,Other
262,Angola,Cuanza Norte,Cassoalala Health Post,Posto de Saúde,MoH,-9.4833,14.35,Other
263,Angola,Cuanza Norte,Catamba Health Post,Posto de Saúde,MoH,-9.3,14.7667,Other
264,Angola,Cuanza Norte,Catari II Health Post,Posto de Saúde,MoH,-9.3369,14.9823,Other
265,Angola,Cuanza Norte,Catome de Cima Health Post,Posto de Saúde,MoH,-9.2971,14.9375,Other
266,Angola,Cuanza Norte,Cavunga Health Post,Posto de Saúde,MoH,-8.9201,14.6641,Other
267,Angola,Cuanza Norte,Caxissa Health Post,Posto de Saúde,MoH,-9.5113,14.6863,Other
268,Angola,Cuanza Norte,Cazengo Centro Materno Infantil,Centro Materno Infantil,MoH,-9.3048,14.8997,Other
269,Angola,Cuanza Norte,Cazengo Municipal Hospital,Municipal Hospital,Govt.,-9.3015,14.9156,Google Earth
270,Angola,Cuanza Norte,Cazombo Health Post,Posto de Saúde,MoH,-8.7333,15.3667,Other
271,Angola,Cuanza Norte,Cazua Health Post,Posto de Saúde,MoH,-8.0019,15.25,Other
272,Angola,Cuanza Norte,Cerca Health Post,Posto de Saúde,MoH,-9.067,14.567,Other
273,Angola,Cuanza Norte,Coio Health Post,Posto de Saúde,MoH,-9.0272,15.2828,Other
274,Angola,Cuanza Norte,Cole Health Post,Posto de Saúde,MoH,-8.0731,15.2684,Other
275,Angola,Cuanza Norte,Cupoe Health Post,Posto de Saúde,MoH,-9.3055,14.901,Combination
276,Angola,Cuanza Norte,Dange-Ya-Menha Health Post,Posto de Saúde,MoH,-9.533,14.667,Other
277,Angola,Cuanza Norte,Dr Agostinho Neto Provincial Hospital,Provincial Hospital,Govt.,-9.3017,14.913,Google Earth
278,Angola,Cuanza Norte,Dualumbi Health Post,Posto de Saúde,MoH,-9.1137,15.2338,Other
279,Angola,Cuanza Norte,G-Alto Municipal Hospital,Municipal Hospital,Govt.,-9.1333,14.7667,Other
